"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D1, D2, D3, D4, D5, D6, D7, D8, D9";"D_DO-35_SOD27_P7.62mm_Horizontal";9;"1N4148";;;
2;"D10, D12, D13, D14, D15, D16, D17, D18, D19";"SK6812MINI-E_fixed";9;"SK6812MINI-E";;;
3;"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9";"SW_Cherry_MX_1.00u_PCB";9;"SW_Push";;;
4;"SW12";"RotaryEncoder_Alps_EC11E_Vertical_H20mm";1;"RotaryEncoder_Switch";;;
5;"SW13";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"RotaryEncoder_Switch";;;
6;"U1";"XIAO-Generic-Hybrid-14P-2.54-21X17.8MM";1;"MOUDLE-SEEEDUINO-XIAO";;;
